Expected_Profit_Dollars,Expected_Profitability_Ratio,Expected_Loss_Dollars,Expense_Load_Dollars,Expected_Profit_Dollars_With_Bind,Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,_Derived_Premium,_Assumed_Loss_Ratio,Expected_Premium_Used,Assumed_Expense_Ratio,Assumed_Bind_Probability,,
81432.63,0.25,173182.8,70738.81,69217.73,SUB0238,Alpha Risk,Portal,Platinum,0.78,Warehousing,97,3,TX,26109863,5701592,2178070,Yes,No,0.85,33989525,28891096,9,No,1,,0.53,325354.23,0.22,0.85,1,0
10969.78,0.25,23043.77,9679.47,4826.7,SUB0239,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,7755121,1744788,1249280,No,Yes,0.44,10749189,4729643,9,No,0,,0.53,43693.01,0.22,0.44,1,0
14189.09,0.22,35987.07,15007.65,6243.2,SUB0240,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,6055337,2534524,1120365,No,Yes,0.44,9710226,4272499,3,No,0,,0.55,65183.81,0.23,0.44,1,0
24339.29,0.19,76658.74,29799.08,14360.18,SUB0241,FastBind,Email,Silver,0.5,Office Space,36,3,CO,13164088,2319308,1003722,No,No,0.59,16487118,9727399,3,No,0,,0.59,130797.11,0.23,0.59,1.01,0
8531.88,0.11,52219.64,18885.75,4777.85,SUB0242,FastBind,Email,Silver,0.5,Office Space,62,3,CO,13282558,607589,931117,No,No,0.56,14821264,8299907,3,No,0,,0.66,79637.27,0.24,0.56,1.01,0
58520.45,0.1,383747.8,162651.85,47986.77,SUB0243,Alpha Risk,Portal,Platinum,0.78,Real Estate,246,8,NY,55003324,10468386,4584007,Yes,No,0.82,70055717,57445687,4,No,1,,0.63,604920.11,0.27,0.82,1,0
8896.61,0.09,65943.9,28516.61,3024.85,SUB0244,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,7627540,1728900,1254638,No,Yes,0.34,10611078,3607766,8,No,0,,0.64,103357.13,0.28,0.34,1.01,0
4815.63,0.12,22744.9,11683.16,2167.03,SUB0245,FastBind,Email,Silver,0.5,Office Space,64,3,CO,6676663,1686085,1040369,No,No,0.45,9403117,4231402,6,No,0,,0.58,39243.69,0.3,0.45,1,0
3595.75,0.11,19788.78,9874.17,1294.47,SUB0246,Delta Insure,API,Bronze,0.35,Hospitality,40,1,LA,4895891,1188739,352248,No,Yes,0.36,6436878,2317276,8,No,0,,0.59,33258.71,0.3,0.36,1,0
2296.2,0.01,129791.95,54143.96,1515.49,SUB0247,CoreTrust,Portal,Gold,0.66,Education,81,4,NJ,18281815,4397087,2257692,Yes,No,0.66,24936594,16458152,1,No,1,,0.7,186232.12,0.29,0.66,1,0
16326.02,0.08,141133.94,52426.71,13550.6,SUB0248,Alpha Risk,Portal,Platinum,0.78,Warehousing,77,3,TX,25266175,4337466,1821183,Yes,No,0.83,31424824,26082603,8,No,1,,0.67,209886.67,0.25,0.83,1,0
9441.34,0.24,19717.59,9565.98,4626.26,SUB0249,FastBind,Email,Silver,0.5,Office Space,52,3,CO,6072667,560744,1153674,No,No,0.49,7787085,3815671,4,No,0,,0.51,38724.91,0.25,0.49,1,0
14143.86,0.2,40123.46,15023.35,6789.05,SUB0250,SecureEdge,Wholesaler,Silver,0.4,Retail,46,5,CA,10219830,3749325,1102640,No,No,0.48,15071795,7234461,1,No,0,,0.58,69290.67,0.22,0.48,1,0
70819.71,0.2,214454.77,73966.69,54531.17,SUB0251,Alpha Risk,Portal,Platinum,0.78,Manufacturing,196,5,OH,44003617,6353953,2732628,Yes,No,0.77,53090198,40879452,8,No,1,,0.6,359241.17,0.21,0.77,1.01,0
17870.99,0.07,151985.1,70595.04,13760.66,SUB0252,CoreTrust,Portal,Gold,0.66,Education,110,4,NJ,17690091,2679180,2218343,Yes,No,0.77,22587614,17392462,4,No,1,,0.63,240451.13,0.29,0.77,0.99,0
19315.27,0.13,87066.28,41073.98,15259.07,SUB0253,Beta Cover,Email,Gold,0.65,Logistics,59,2,IL,14287634,1854100,1390736,Yes,No,0.79,17532470,13850651,6,No,1,,0.59,147455.54,0.28,0.79,1,0
30994.04,0.23,68191.45,33093.71,18596.42,SUB0254,Beta Cover,Email,Gold,0.65,Manufacturing,121,2,FL,15785785,4810085,3421953,Yes,Yes,0.6,24017823,14410693,8,No,0,,0.52,132279.19,0.25,0.6,1,0
47322.85,0.21,135824.62,47388.04,36438.59,SUB0255,CoreTrust,Portal,Gold,0.66,Education,97,4,NJ,18834159,3552810,1801450,Yes,No,0.77,24188419,18625082,4,No,1,,0.59,230535.5,0.21,0.77,1.01,0
27808.44,0.2,69150.27,40003.23,12235.71,SUB0256,FastBind,Email,Silver,0.5,Office Space,43,3,CO,14511366,1820889,677106,No,No,0.44,17009361,7484118,3,No,0,,0.5,136961.94,0.29,0.44,0.99,0
5367.29,0.05,80759.39,30279.08,3274.05,SUB0257,Beta Cover,Email,Gold,0.65,Logistics,73,2,IL,13287710,1371428,1357145,Yes,No,0.61,16016283,9769932,9,Yes,1,,0.69,116405.76,0.26,0.61,1,0
21861.81,0.11,122535.3,57470.17,15959.12,SUB0258,Beta Cover,Email,Gold,0.65,Logistics,88,2,IL,18459827,1357099,537455,Yes,No,0.73,20354381,14858698,3,Yes,1,,0.61,201867.28,0.28,0.73,1,0
132929.46,0.18,410527.44,214661.08,114319.34,SUB0259,Alpha Risk,Portal,Platinum,0.78,Real Estate,236,8,NY,58267501,10850868,5247934,Yes,No,0.86,74366303,63955020,9,No,1,,0.54,758117.98,0.28,0.86,1,0
53231.39,0.26,108782.69,45362.86,42585.12,SUB0260,CoreTrust,Portal,Gold,0.66,Education,112,4,NJ,16118208,3559809,2287465,Yes,No,0.8,21965482,17572385,2,No,1,,0.52,207376.95,0.22,0.8,1,0
22917.79,0.18,74220.97,27183.16,20626.01,SUB0261,Alpha Risk,Portal,Platinum,0.78,Warehousing,82,3,TX,22494582,5182582,1778800,Yes,No,0.9,29455964,26510367,2,Yes,1,,0.6,124321.92,0.22,0.9,1,0
68206.05,0.16,241310.65,128780.97,55246.9,SUB0262,Alpha Risk,Portal,Platinum,0.78,Real Estate,246,8,NY,56702960,9562644,5326645,Yes,No,0.81,71592249,57989721,2,Yes,1,,0.55,438297.66,0.29,0.81,1,0
2434.14,0.02,111969.5,46023.39,1046.68,SUB0263,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,38,10,FL,11961237,2139744,1075549,No,Yes,0.43,15176530,6525907,6,Yes,0,,0.7,160427.03,0.29,0.43,1.01,0
9941.21,0.06,99776.68,45325.56,6660.61,SUB0264,CoreTrust,Portal,Gold,0.66,Education,107,4,NJ,20651611,3894955,2279879,Yes,No,0.67,26826445,17973718,3,Yes,1,,0.64,155043.46,0.29,0.67,0.99,0
134267.02,0.16,461163.79,247559.25,112784.3,SUB0265,Alpha Risk,Portal,Platinum,0.78,Real Estate,263,8,NY,63270487,10140692,4671995,Yes,No,0.84,78083174,65589866,9,Yes,1,,0.55,842990.06,0.29,0.84,1,0
17158.07,0.14,72824.49,35004.69,6520.07,SUB0266,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,16,10,FL,8236317,2019399,1287607,No,Yes,0.38,11543323,4386462,4,No,0,,0.58,124987.25,0.28,0.38,1,0
23715.98,0.13,110403.26,43166.9,18972.78,SUB0267,Beta Cover,Email,Gold,0.65,Logistics,82,2,IL,15976470,2229113,1125027,Yes,No,0.8,19330610,15464488,1,No,1,,0.62,177286.13,0.24,0.8,0.99,0
23223.18,0.12,116723.78,59615.55,16488.46,SUB0268,Beta Cover,Email,Gold,0.65,Logistics,64,2,IL,17507391,1269088,937332,Yes,No,0.71,19713811,13996805,4,Yes,1,,0.58,199562.51,0.3,0.71,1,0
44025.82,0.15,172608.9,74058.23,38742.72,SUB0269,Alpha Risk,Portal,Platinum,0.78,Warehousing,86,3,TX,26717682,4046276,2164201,Yes,No,0.88,32928159,28976779,1,No,1,,0.59,290692.94,0.25,0.88,0.99,0
24733.61,0.09,178211.66,64383,14345.49,SUB0270,Beta Cover,Email,Gold,0.65,Manufacturing,118,2,FL,15841394,3157627,3442209,Yes,Yes,0.58,22441230,13015913,5,Yes,0,,0.67,267328.27,0.24,0.58,1,0
96362.15,0.11,624526.32,191519.7,83835.07,SUB0271,Alpha Risk,Portal,Platinum,0.78,Real Estate,267,8,NY,63511129,9025770,5187125,Yes,No,0.87,77724024,67619900,4,No,1,,0.68,912408.17,0.21,0.87,1,0
7555.73,0.06,88114.44,40978.58,3400.08,SUB0272,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,24,10,FL,13606463,2027555,798194,No,Yes,0.45,16432212,7394495,8,No,0,,0.64,136648.74,0.3,0.45,1,0
10050.21,0.05,127709.18,48771.5,7638.16,SUB0273,Beta Cover,Email,Gold,0.65,Logistics,77,2,IL,17036052,1141421,1265533,Yes,No,0.76,19443006,14776684,8,No,1,,0.68,186530.89,0.26,0.76,0.99,0
17750.13,0.11,103213.33,41216,8875.07,SUB0274,FastBind,Email,Silver,0.5,Office Space,65,3,CO,13526849,2384634,1030173,No,No,0.5,16941656,8470828,7,Yes,0,,0.64,162179.47,0.25,0.5,1,0
14905.15,0.14,68422.03,25410.1,9837.4,SUB0275,Beta Cover,Email,Gold,0.65,Manufacturing,118,2,FL,14528108,3447155,3431712,Yes,Yes,0.66,21406975,14128603,3,No,1,,0.63,108737.29,0.23,0.66,1,0
23315.3,0.17,79563.09,32441.28,8393.51,SUB0276,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,14,10,FL,10052929,1326507,1117942,No,Yes,0.36,12497378,4499056,1,Yes,0,,0.59,135319.67,0.24,0.36,1,0
52272.48,0.1,318812.37,132835.42,39727.09,SUB0277,Alpha Risk,Portal,Platinum,0.78,Manufacturing,170,5,OH,44719436,7404498,2587847,Yes,No,0.76,54711781,41580953,1,No,1,,0.63,503920.28,0.26,0.76,0.99,0
17625.97,0.08,136603.69,65652.35,15510.85,SUB0278,Alpha Risk,Portal,Platinum,0.78,Warehousing,80,3,TX,26853679,4980611,1820696,Yes,No,0.88,33654986,29616387,3,No,1,,0.62,219882,0.3,0.88,1,0
6295.75,0.06,68904.29,31938.08,4658.86,SUB0279,Beta Cover,Email,Gold,0.65,Logistics,67,2,IL,14761319,1723359,813562,Yes,No,0.74,17298240,12800697,6,No,1,,0.64,107138.12,0.3,0.74,1,0
1817.53,0.06,19501.53,7360.57,708.84,SUB0280,Delta Insure,API,Bronze,0.35,Hospitality,20,1,LA,2747841,784382,381294,No,Yes,0.39,3913517,1526271,7,Yes,0,,0.68,28679.62,0.26,0.39,1,0
20116.29,0.23,45215,23262.6,15489.54,SUB0281,CoreTrust,Portal,Gold,0.66,Education,97,4,NJ,15402280,2864094,2020497,Yes,No,0.77,20286871,15620890,6,No,1,,0.51,88593.9,0.26,0.77,1,0
11297.93,0.15,41309.02,20306.34,2824.48,SUB0282,Delta Insure,API,Bronze,0.35,Hospitality,47,1,LA,7618620,500000,200000,No,Yes,0.25,8318620,2079655,6,Yes,0,,0.57,72913.3,0.28,0.25,1,0
42857.97,0.1,273704.25,92056.56,36857.86,SUB0283,Alpha Risk,Portal,Platinum,0.78,Manufacturing,164,5,OH,38700441,6347210,3264486,Yes,No,0.86,48312137,41548437,6,Yes,1,,0.67,408618.78,0.23,0.86,1,0
9556.39,0.14,40850.5,16512.69,3726.99,SUB0284,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,17,10,FL,7300974,2862976,1252898,No,Yes,0.39,11416848,4452570,3,No,0,,0.61,66919.58,0.25,0.39,1,0
26074.67,0.19,68642.03,40261.02,12515.84,SUB0285,SecureEdge,Wholesaler,Silver,0.4,Retail,59,5,CA,10261608,3569182,1991553,No,No,0.48,15822343,7594724,6,Yes,0,,0.51,134977.72,0.3,0.48,1,0
35268.71,0.19,99971.9,55330.2,25040.78,SUB0286,Beta Cover,Email,Gold,0.65,Logistics,67,2,IL,15406485,2082921,685193,Yes,No,0.71,18174599,12903965,8,No,1,,0.52,190570.81,0.29,0.71,1,0
34200.91,0.11,192021.87,89170.82,29754.79,SUB0287,Alpha Risk,Portal,Platinum,0.78,Manufacturing,160,5,OH,43148896,6910497,2880287,Yes,No,0.87,52939680,46057521,2,No,1,,0.61,315393.61,0.28,0.87,1,0
6191.48,0.04,115453.98,46781.27,3962.55,SUB0288,Beta Cover,Email,Gold,0.65,Logistics,74,2,IL,19849101,2410010,1005579,Yes,No,0.64,23264690,14889401,5,Yes,1,,0.69,168426.73,0.28,0.64,1.01,0
12189.03,0.26,24259.09,10192.44,4997.5,SUB0289,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,21,10,FL,7507630,2245068,1158588,No,Yes,0.41,10911286,4473627,1,No,0,,0.52,46640.56,0.22,0.41,1,0
79224.78,0.09,602543.51,207677.22,72094.55,SUB0290,Alpha Risk,Portal,Platinum,0.78,Real Estate,238,8,NY,63604662,10506889,4616049,Yes,No,0.91,78727600,71642116,1,No,1,,0.68,889445.52,0.23,0.91,1,0
11901.7,0.1,67857.04,33903.12,5355.77,SUB0291,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,17,10,FL,10429474,1041461,1265132,No,Yes,0.45,12736067,5731230,5,No,0,,0.6,113661.86,0.3,0.45,1,0
28070.02,0.13,149735.67,46510,23017.41,SUB0292,CoreTrust,Portal,Gold,0.66,Education,77,4,NJ,18104481,3976341,2301979,Yes,No,0.82,24382801,19993896,3,No,1,,0.67,224315.68,0.21,0.82,1.01,0
13771.38,0.04,209363.36,89287.41,10879.39,SUB0293,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,22091467,5776571,1687389,Yes,No,0.79,29555427,23348787,4,No,1,,0.67,312422.15,0.29,0.79,1,0
18509.06,0.14,83994.94,26200.28,11290.53,SUB0294,FastBind,Email,Silver,0.5,Office Space,71,3,CO,12974993,740208,920987,No,No,0.61,14636188,8928074,3,No,1,,0.65,128704.28,0.2,0.61,0.99,0
990.87,0.01,58258.16,25392.19,515.25,SUB0295,SecureEdge,Wholesaler,Silver,0.4,Retail,35,5,CA,13271307,2649091,1195987,No,No,0.52,17116385,8900520,1,No,0,,0.69,84641.23,0.3,0.52,1,0
7659.76,0.14,36303.72,11296.43,3983.08,SUB0296,SecureEdge,Wholesaler,Silver,0.4,Retail,29,5,CA,7367130,3598560,1513333,No,No,0.52,12479023,6489091,1,Yes,0,,0.66,55259.92,0.2,0.52,1,0
25815.13,0.07,233156.04,103873.76,22717.31,SUB0297,Alpha Risk,Portal,Platinum,0.78,Manufacturing,171,5,OH,44547629,7112527,3251945,Yes,No,0.88,54912101,48322648,5,No,1,,0.64,362844.93,0.29,0.88,1,0
22909.96,0.2,64024.53,27262.18,8934.88,SUB0298,SecureEdge,Wholesaler,Silver,0.4,Retail,36,5,CA,13963889,3067734,1281018,No,No,0.39,18312641,7141929,6,No,0,,0.56,114196.67,0.24,0.39,1,0
91224.59,0.13,414528.03,186146.12,78453.15,SUB0299,Alpha Risk,Portal,Platinum,0.78,Real Estate,268,8,NY,62790113,9554867,5384336,Yes,No,0.86,77729316,66847211,3,Yes,1,,0.6,691898.74,0.27,0.86,1,0
42028.77,0.17,145041.39,54779.13,28999.85,SUB0300,Beta Cover,Email,Gold,0.65,Manufacturing,111,2,FL,19865628,3564188,2664675,Yes,Yes,0.69,26094491,18005198,9,No,1,,0.6,241849.29,0.23,0.69,1,0
29157.35,0.21,79343.2,28598.54,19827,SUB0301,CoreTrust,Portal,Gold,0.66,Education,111,4,NJ,23587451,3222814,1513720,Yes,No,0.68,28323985,19260309,5,Yes,1,,0.58,137099.1,0.21,0.68,1,0
3299.74,0.14,13606.53,7053.65,857.93,SUB0302,Delta Insure,API,Bronze,0.35,Hospitality,25,1,LA,1590803,500000,848692,No,Yes,0.26,2939495,764268,8,Yes,0,,0.57,23959.93,0.29,0.26,1,0
7613.07,0.12,41222.18,15424.18,3958.8,SUB0303,FastBind,Email,Silver,0.5,Office Space,58,3,CO,9991268,502406,1046634,No,No,0.52,11540308,6000960,1,No,0,,0.64,64259.43,0.24,0.52,1,0
11526.14,0.05,155958.06,71565.24,9797.22,SUB0304,Alpha Risk,Portal,Platinum,0.78,Manufacturing,198,5,OH,42735137,6761669,2998268,Yes,No,0.85,52495074,44620812,5,Yes,1,,0.65,239049.44,0.3,0.85,1,0
18893.36,0.15,73382.15,33609.05,13792.15,SUB0305,Beta Cover,Email,Gold,0.65,Logistics,50,2,IL,18477885,2977387,1198035,Yes,No,0.73,22653307,16536914,3,No,1,,0.58,125884.55,0.27,0.73,1,0
10217.55,0.21,26752.5,12664.33,2963.09,SUB0306,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,4583070,2461190,1397303,No,Yes,0.29,8441563,2448053,1,No,0,,0.54,49634.38,0.26,0.29,1.01,0
29693.06,0.16,109558.23,43748.52,22566.72,SUB0307,Beta Cover,Email,Gold,0.65,Manufacturing,133,2,FL,21956029,3271630,2903676,Yes,Yes,0.76,28131335,21379814,4,No,1,,0.6,182999.81,0.24,0.76,1,0
2867.08,0.09,21249.85,8879.73,1060.82,SUB0308,Delta Insure,API,Bronze,0.35,Hospitality,18,1,LA,5595500,500000,332663,No,Yes,0.37,6428163,2378420,5,No,0,,0.64,32996.66,0.27,0.37,1,0
3035.45,0.04,53426.07,20980.77,1062.41,SUB0309,Delta Insure,API,Bronze,0.35,Hospitality,37,1,LA,7047374,1530755,216746,No,Yes,0.35,8794875,3078206,7,Yes,0,,0.69,77442.3,0.27,0.35,1,0
67651.9,0.1,480194.39,154787.59,59533.67,SUB0310,Alpha Risk,Portal,Platinum,0.78,Real Estate,244,8,NY,59142586,10095123,4625750,Yes,No,0.88,73863459,64999843,1,No,1,,0.68,702633.89,0.22,0.88,1,0
8300.82,0.06,91382.27,31370.38,5727.57,SUB0311,Beta Cover,Email,Gold,0.65,Manufacturing,112,2,FL,21001535,4764839,2674951,Yes,Yes,0.69,28441325,19624514,3,No,1,,0.7,131053.47,0.24,0.69,1,0
12291.77,0.04,195274.73,86512.31,8604.24,SUB0312,CoreTrust,Portal,Gold,0.66,Education,83,4,NJ,20998658,2738964,1956946,Yes,No,0.7,25694568,17986197,2,No,1,,0.66,294078.82,0.29,0.7,0.99,0
24969.81,0.15,104663.23,42058.48,10237.62,SUB0313,SecureEdge,Wholesaler,Silver,0.4,Retail,53,5,CA,16465908,2010391,1002424,No,No,0.41,19478723,7986276,9,Yes,0,,0.61,171691.52,0.24,0.41,1,0
26072.11,0.19,79864.11,33024.93,11732.45,SUB0314,FastBind,Email,Silver,0.5,Office Space,46,3,CO,13569648,2124759,1323553,No,No,0.45,17017960,7658082,10,No,0,,0.57,138961.16,0.24,0.45,1,0
19288.75,0.05,293311.74,106508.08,15623.89,SUB0315,Alpha Risk,Portal,Platinum,0.78,Manufacturing,162,5,OH,36168529,7706186,2887882,Yes,No,0.81,46762597,37877703,6,No,1,,0.7,419108.57,0.25,0.81,1,0
7664.79,0.07,69785.19,29813.29,6208.48,SUB0316,CoreTrust,Portal,Gold,0.66,Education,83,4,NJ,20405071,4018050,2387551,Yes,No,0.81,26810672,21716644,10,No,1,,0.65,107263.27,0.28,0.81,1,0
12390.58,0.06,144362.37,51634.86,9169.03,SUB0317,Beta Cover,Email,Gold,0.65,Manufacturing,125,2,FL,14612870,3874138,3163333,Yes,Yes,0.74,21650341,16021252,3,No,1,,0.69,208387.8,0.25,0.74,1,0
194459.82,0.24,408240.22,198216.86,149734.06,SUB0318,Alpha Risk,Portal,Platinum,0.78,Real Estate,252,8,NY,56862751,10733365,4550762,Yes,No,0.77,72146878,55553096,8,No,1,,0.51,800916.9,0.25,0.77,1,0
1696.75,0.03,39608.29,17128.87,356.32,SUB0319,Delta Insure,API,Bronze,0.35,Hospitality,19,1,LA,5707885,1755557,801396,No,Yes,0.21,8264838,1735615,8,No,0,,0.68,58433.91,0.29,0.21,1,0
21327.07,0.15,87469.84,34020.53,14075.87,SUB0320,Beta Cover,Email,Gold,0.65,Logistics,70,2,IL,17730123,2537392,601923,Yes,No,0.66,20869438,13773829,2,No,1,,0.61,142817.45,0.24,0.66,1,0
22263.59,0.28,41445.92,17041.14,14471.33,SUB0321,Beta Cover,Email,Gold,0.65,Logistics,88,2,IL,14305715,2773429,1287105,Yes,No,0.65,18366249,11938061,6,Yes,1,,0.51,80750.65,0.21,0.65,1,0
12969.73,0.12,65207.87,26623.82,3372.13,SUB0322,Delta Insure,API,Bronze,0.35,Hospitality,10,1,LA,9444584,500000,200000,No,Yes,0.26,10144584,2637591,7,No,0,,0.62,104801.43,0.25,0.26,0.99,0
95111.29,0.16,385837.1,126145.12,84649.05,SUB0323,Alpha Risk,Portal,Platinum,0.78,Real Estate,248,8,NY,61300832,10318467,4812839,Yes,No,0.89,76432138,68024602,2,No,1,,0.64,607093.51,0.21,0.89,1.01,0
19768.58,0.21,48179.69,27221.93,16407.92,SUB0324,CoreTrust,Portal,Gold,0.66,Education,106,4,NJ,16549592,2994591,2447196,Yes,No,0.83,21991379,18252844,10,No,1,,0.51,95170.2,0.29,0.83,1.01,0
12329.28,0.12,64616.96,25188.93,5671.47,SUB0325,SecureEdge,Wholesaler,Silver,0.4,Retail,36,5,CA,14135848,2622911,1084622,No,No,0.46,17843381,8207955,2,No,0,,0.63,102135.17,0.25,0.46,1,0
40018.59,0.28,70884.49,30300.76,28013.01,SUB0326,Beta Cover,Email,Gold,0.65,Manufacturing,136,2,FL,16725454,3749356,2720448,Yes,Yes,0.7,23195258,16236680,10,Yes,1,,0.5,141203.83,0.21,0.7,0.99,0
29517.71,0.1,200537.88,63720.59,25975.58,SUB0327,Alpha Risk,Portal,Platinum,0.78,Warehousing,73,3,TX,21156942,5751034,1711382,Yes,No,0.88,28619358,25185035,1,No,1,,0.68,293776.17,0.22,0.88,1,0
28834.95,0.16,108088.34,39203.03,17589.32,SUB0328,Beta Cover,Email,Gold,0.65,Logistics,88,2,IL,12797222,1925054,1453282,Yes,No,0.61,16175558,9867090,8,Yes,1,,0.61,176126.31,0.22,0.61,0.99,0
33480.72,0.18,97384.71,52069.78,25780.15,SUB0329,Alpha Risk,Portal,Platinum,0.78,Warehousing,103,3,TX,28712645,4280385,2299778,Yes,No,0.77,35292808,27175462,1,No,1,,0.53,182935.2,0.28,0.77,0.99,0
26916.51,0.18,86182.41,40075.55,18303.23,SUB0330,Beta Cover,Email,Gold,0.65,Logistics,74,2,IL,15582369,2293964,1462956,Yes,No,0.68,19339289,13150716,9,Yes,1,,0.56,153174.47,0.26,0.68,1,0
115825.13,0.13,546423.73,234740.22,108875.62,SUB0331,Alpha Risk,Portal,Platinum,0.78,Real Estate,250,8,NY,60686072,10090467,5179744,Yes,No,0.94,75956283,71398906,6,No,1,,0.61,896989.08,0.26,0.94,1,0
25021.84,0.09,192621.69,69417.68,22519.66,SUB0332,Alpha Risk,Portal,Platinum,0.78,Warehousing,78,3,TX,22604549,4719942,1953428,Yes,No,0.9,29277919,26350127,7,No,1,,0.67,287061.22,0.24,0.9,1,0
18886.6,0.17,61621.53,32763.61,4721.65,SUB0333,Delta Insure,API,Bronze,0.35,Hospitality,34,1,LA,7533119,1878778,235796,No,Yes,0.25,9647693,2411923,10,No,0,,0.54,113271.73,0.29,0.25,1,0
7057.21,0.15,29262.47,10248.52,2328.88,SUB0334,Delta Insure,API,Bronze,0.35,Hospitality,19,1,LA,2218327,1116591,822293,No,Yes,0.33,4157211,1371879,7,Yes,0,,0.63,46568.2,0.22,0.33,1,0
20155.16,0.17,71240.25,25533.32,16124.12,SUB0335,CoreTrust,Portal,Gold,0.66,Education,86,4,NJ,15172378,2789239,1896063,Yes,No,0.8,19857680,15886144,10,Yes,1,,0.61,116928.73,0.22,0.8,1,0
52182.55,0.16,192020.98,78457.54,35484.13,SUB0336,CoreTrust,Portal,Gold,0.66,Education,110,4,NJ,21942569,3869038,2014906,Yes,No,0.68,27826513,18922028,3,Yes,1,,0.6,322661.07,0.24,0.68,1,0
17470.54,0.07,159948.46,66627.3,13452.31,SUB0337,Beta Cover,Email,Gold,0.65,Manufacturing,136,2,FL,20533595,3215062,2786839,Yes,Yes,0.77,26535496,20432331,2,No,1,,0.66,244046.29,0.27,0.77,1,0
56533.28,0.09,403880.68,152013.34,48618.62,SUB0338,Alpha Risk,Portal,Platinum,0.78,Manufacturing,191,5,OH,43885101,7431659,3000214,Yes,No,0.86,54316974,46712597,9,Yes,1,,0.66,612427.3,0.25,0.86,1,0
3611.22,0.1,26242.51,7639.31,1877.83,SUB0339,FastBind,Email,Silver,0.5,Office Space,43,3,CO,5173368,812712,702664,No,No,0.52,6688744,3478146,8,No,0,,0.7,37493.03,0.2,0.52,1,0
41297.72,0.22,98039.01,46403.51,30560.31,SUB0340,CoreTrust,Portal,Gold,0.66,Education,94,4,NJ,15758202,4086567,2293344,Yes,No,0.74,22138113,16382203,10,No,1,,0.53,185740.24,0.25,0.74,1,0
12675.31,0.15,45920.73,24396.66,5957.4,SUB0341,SecureEdge,Wholesaler,Silver,0.4,Retail,37,5,CA,12064271,2643113,1240053,No,No,0.47,15947437,7495295,7,Yes,0,,0.55,82992.7,0.29,0.47,0.99,0
33949.05,0.05,457041.66,165631.85,32251.6,SUB0342,Alpha Risk,Portal,Platinum,0.78,Real Estate,255,8,NY,64510074,9365481,5331997,Yes,No,0.95,79207552,75247174,9,No,1,,0.7,656622.56,0.25,0.95,1,0
16061.87,0.06,161491.14,69674.19,10118.98,SUB0343,Beta Cover,Email,Gold,0.65,Logistics,84,2,IL,18434900,2231599,877455,Yes,No,0.63,21543954,13572691,4,No,1,,0.65,247227.2,0.28,0.63,0.99,0
20791.56,0.14,88977.97,34107.14,17257,SUB0344,Alpha Risk,Portal,Platinum,0.78,Warehousing,84,3,TX,24246231,5959837,1878484,Yes,No,0.83,32084552,26630178,4,Yes,1,,0.62,143876.67,0.24,0.83,1,0
26800.82,0.13,128788.38,58405.51,22244.68,SUB0345,Alpha Risk,Portal,Platinum,0.78,Warehousing,102,3,TX,26430984,4785422,1879339,Yes,No,0.83,33095745,27469468,1,No,1,,0.6,213994.71,0.27,0.83,1,0
7043.9,0.08,57146.1,26326.45,4296.78,SUB0346,FastBind,Email,Silver,0.5,Office Space,57,3,CO,12607599,1187133,1318275,No,No,0.61,15113007,9218934,8,No,1,,0.63,90516.45,0.29,0.61,1,0
21561.09,0.1,145041.06,51057.61,8408.82,SUB0347,SecureEdge,Wholesaler,Silver,0.4,Retail,45,5,CA,15916491,3205711,1200577,No,No,0.39,20322779,7925883,3,No,0,,0.67,217659.75,0.23,0.39,1,0
3478.57,0.11,22316.73,6664.08,1634.93,SUB0348,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,26,10,FL,4661570,1313367,819344,No,Yes,0.47,6794281,3193312,7,No,0,,0.69,32459.37,0.21,0.47,1.01,0
6824.11,0.05,89655.14,40734.29,3275.57,SUB0349,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,30,10,FL,12304602,2826796,883761,No,Yes,0.48,16015159,7687276,2,No,0,,0.65,137213.54,0.3,0.48,1,0
98652.28,0.24,210414.67,102941.34,72016.16,SUB0350,Alpha Risk,Portal,Platinum,0.78,Warehousing,88,3,TX,29667773,5050432,1506437,Yes,No,0.73,36224642,26443988,2,No,1,,0.51,412008.3,0.25,0.73,1,0
