Submission ID,Broker Name,Channel,Broker Tier,Historical Bind Rate,Industry,Client Revenue ($M),Locations,State,Building Value ($),Contents Value ($),BI Value ($),Submission Complete,CAT Zone,Bind Propensity Score,Total Insured Value ($),Expected Value,Days to Quote,Prior Claims,Bind_Flag,submission_date
SUB0140,Beta Cover,Email,Gold,0.65,Manufacturing,130,2,FL,14666610,4683685,3064149,Yes,Yes,0.6," 2,24,14,444.00 "," 1,34,48,666.00 ",4,Yes,0,2025-05-28
SUB0141,Beta Cover,Email,Gold,0.65,Manufacturing,133,2,FL,22819376,3445140,2528325,Yes,Yes,0.74," 2,87,92,841.00 "," 2,13,06,702.00 ",10,No,1,2025-06-07
SUB0142,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,13,10,FL,10904013,2389725,635997,No,Yes,0.37," 1,39,29,735.00 "," 51,54,001.00 ",7,No,0,2025-07-09
SUB0143,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,28,10,FL,11616563,1331335,657946,No,Yes,0.44," 1,36,05,844.00 "," 59,86,571.00 ",9,No,0,2025-08-08
SUB0144,SecureEdge,Wholesaler,Silver,0.4,Retail,38,5,CA,13028097,2899119,1844553,No,No,0.53," 1,77,71,769.00 "," 94,19,037.00 ",7,No,0,2025-09-12
SUB0145,Beta Cover,Email,Gold,0.65,Logistics,82,2,IL,19248369,1087444,1207967,Yes,No,0.69," 2,15,43,780.00 "," 1,48,65,208.00 ",1,No,1,2024-10-02
SUB0146,Alpha Risk,Portal,Platinum,0.78,Real Estate,245,8,NY,60979202,10523146,5167710,Yes,No,0.77," 7,66,70,058.00 "," 5,90,35,944.00 ",1,No,1,2024-11-01
SUB0147,FastBind,Email,Silver,0.5,Office Space,45,3,CO,10335502,1651397,1147388,No,No,0.46," 1,31,34,287.00 "," 60,41,772.00 ",9,No,0,2024-12-16
SUB0148,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,22,10,FL,9554949,2949458,1410827,No,Yes,0.37," 1,39,15,234.00 "," 51,48,636.00 ",9,Yes,0,2025-01-23
SUB0149,CoreTrust,Portal,Gold,0.66,Education,78,4,NJ,22591599,3567235,1714482,Yes,No,0.76," 2,78,73,316.00 "," 2,11,83,720.00 ",4,No,1,2025-02-23
SUB0150,Beta Cover,Email,Gold,0.65,Logistics,75,2,IL,13959395,2474865,1002445,Yes,No,0.73," 1,74,36,705.00 "," 1,27,28,794.00 ",9,No,1,2025-03-24
SUB0151,SecureEdge,Wholesaler,Silver,0.4,Retail,31,5,CA,12034474,2557746,1204306,No,No,0.54," 1,57,96,526.00 "," 85,30,124.00 ",3,No,0,2025-04-05
SUB0152,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,18,10,FL,13354060,1752466,910389,No,Yes,0.3," 1,60,16,915.00 "," 48,05,074.00 ",7,Yes,0,2025-05-03
SUB0153,Delta Insure,API,Bronze,0.35,Hospitality,22,1,LA,2880739,1581321,802527,No,Yes,0.27," 52,64,587.00 "," 14,21,438.00 ",6,Yes,0,2025-06-12
SUB0154,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,7411067,2399380,1032339,No,Yes,0.45," 1,08,42,786.00 "," 48,79,253.00 ",8,Yes,0,2025-07-08
SUB0155,Alpha Risk,Portal,Platinum,0.78,Real Estate,256,8,NY,62410528,10576603,4701654,Yes,No,0.85," 7,76,88,785.00 "," 6,60,35,467.00 ",9,Yes,1,2025-08-22
SUB0156,Alpha Risk,Portal,Platinum,0.78,Real Estate,241,8,NY,59095926,10150071,4592684,Yes,No,0.9," 7,38,38,681.00 "," 6,64,54,812.00 ",5,No,1,2025-09-27
SUB0157,CoreTrust,Portal,Gold,0.66,Education,85,4,NJ,20863078,4011042,2424812,Yes,No,0.79," 2,72,98,932.00 "," 2,15,66,156.00 ",1,Yes,1,2024-10-03
SUB0158,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,9332798,2822074,1263656,No,Yes,0.46," 1,34,18,528.00 "," 61,72,522.00 ",3,No,0,2024-11-01
SUB0159,Beta Cover,Email,Gold,0.65,Manufacturing,132,2,FL,16109530,4967210,2671012,Yes,Yes,0.66," 2,37,47,752.00 "," 1,56,73,516.00 ",10,No,1,2024-12-03
SUB0160,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,30,10,FL,4698689,2937475,527676,No,Yes,0.39," 81,63,840.00 "," 31,83,897.00 ",8,No,0,2025-01-05
SUB0161,CoreTrust,Portal,Gold,0.66,Education,89,4,NJ,18780784,3766087,1984414,Yes,No,0.71," 2,45,31,285.00 "," 1,74,17,212.00 ",6,No,1,2025-02-15
SUB0162,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,26,10,FL,13440905,2399903,1365491,No,Yes,0.41," 1,72,06,299.00 "," 70,54,582.00 ",8,No,0,2025-03-14
SUB0163,Alpha Risk,Portal,Platinum,0.78,Real Estate,240,8,NY,59375292,9265865,5182464,Yes,No,0.85," 7,38,23,621.00 "," 6,27,50,077.00 ",9,No,1,2025-04-03
SUB0164,Beta Cover,Email,Gold,0.65,Manufacturing,120,2,FL,15764411,4619865,3255187,Yes,Yes,0.75," 2,36,39,463.00 "," 1,77,29,597.00 ",4,No,1,2025-05-01
SUB0165,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,19,10,FL,12925997,1191846,541344,No,Yes,0.43," 1,46,59,187.00 "," 63,03,450.00 ",1,No,0,2025-06-05
SUB0166,Beta Cover,Email,Gold,0.65,Logistics,56,2,IL,19709503,2763636,911762,Yes,No,0.75," 2,33,84,901.00 "," 1,75,38,675.00 ",1,No,1,2025-07-26
SUB0167,Beta Cover,Email,Gold,0.65,Manufacturing,111,2,FL,13800089,3803590,3256206,Yes,Yes,0.76," 2,08,59,885.00 "," 1,58,53,512.00 ",10,Yes,1,2025-08-23
SUB0168,Alpha Risk,Portal,Platinum,0.78,Real Estate,232,8,NY,60801451,9218222,5347310,Yes,No,0.93," 7,53,66,983.00 "," 7,00,91,294.00 ",4,Yes,1,2025-09-14
SUB0169,Beta Cover,Email,Gold,0.65,Manufacturing,135,2,FL,15462810,3244333,3054487,Yes,Yes,0.75," 2,17,61,630.00 "," 1,63,21,222.00 ",7,No,1,2024-10-07
SUB0170,Beta Cover,Email,Gold,0.65,Manufacturing,126,2,FL,13933538,4484068,2559006,Yes,Yes,0.72," 2,09,76,612.00 "," 1,51,03,160.00 ",2,Yes,1,2024-11-27
SUB0171,CoreTrust,Portal,Gold,0.66,Education,93,4,NJ,24708216,2711569,1561038,Yes,No,0.68," 2,89,80,823.00 "," 1,97,06,959.00 ",3,No,1,2024-12-09
SUB0172,Delta Insure,API,Bronze,0.35,Hospitality,35,1,LA,4388175,1175921,441293,No,Yes,0.36," 60,05,389.00 "," 21,61,940.00 ",1,No,0,2025-01-15
SUB0173,Beta Cover,Email,Gold,0.65,Manufacturing,113,2,FL,15724336,4358707,2548734,Yes,Yes,0.75," 2,26,31,777.00 "," 1,69,73,832.00 ",5,No,1,2025-02-15
SUB0174,FastBind,Email,Silver,0.5,Office Space,68,3,CO,5243434,1586162,770028,No,No,0.53," 75,99,624.00 "," 40,27,800.00 ",1,No,0,2025-03-26
SUB0175,Alpha Risk,Portal,Platinum,0.78,Warehousing,94,3,TX,21378310,5543091,1812067,Yes,No,0.84," 2,87,33,468.00 "," 2,41,36,113.00 ",8,No,1,2025-04-10
SUB0176,FastBind,Email,Silver,0.5,Office Space,67,3,CO,9159013,1958129,1341166,No,No,0.5," 1,24,58,308.00 "," 62,29,154.00 ",1,No,0,2025-05-28
SUB0177,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,20,10,FL,7891517,2310152,1027732,No,Yes,0.34," 1,12,29,401.00 "," 38,17,996.00 ",1,No,0,2025-06-13
SUB0178,Alpha Risk,Portal,Platinum,0.78,Real Estate,257,8,NY,59148788,9679981,5109551,Yes,No,0.78," 7,39,38,320.00 "," 5,76,71,889.00 ",2,No,1,2025-07-19
SUB0179,SecureEdge,Wholesaler,Silver,0.4,Retail,29,5,CA,7145737,2008136,1104264,No,No,0.4," 1,02,58,137.00 "," 41,03,254.00 ",2,Yes,0,2025-08-07
SUB0180,Alpha Risk,Portal,Platinum,0.78,Manufacturing,166,5,OH,35878118,7637963,3064343,Yes,No,0.79," 4,65,80,424.00 "," 3,67,98,534.00 ",6,No,1,2025-09-17
SUB0181,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,39,10,FL,9627439,2003770,1014379,No,Yes,0.37," 1,26,45,588.00 "," 46,78,867.00 ",7,Yes,0,2024-10-20
SUB0182,Alpha Risk,Portal,Platinum,0.78,Warehousing,94,3,TX,23124553,4612735,1699570,Yes,No,0.86," 2,94,36,858.00 "," 2,53,15,697.00 ",5,No,1,2024-11-04
SUB0183,Delta Insure,API,Bronze,0.35,Hospitality,38,1,LA,8751542,1485234,351430,No,Yes,0.22," 1,05,88,206.00 "," 23,29,405.00 ",1,Yes,0,2024-12-05
SUB0184,SecureEdge,Wholesaler,Silver,0.4,Retail,37,5,CA,7135020,2844342,1902516,No,No,0.44," 1,18,81,878.00 "," 52,28,026.00 ",1,No,0,2025-01-23
SUB0185,Alpha Risk,Portal,Platinum,0.78,Manufacturing,199,5,OH,35873621,6981503,2629589,Yes,No,0.89," 4,54,84,713.00 "," 4,04,81,394.00 ",3,No,1,2025-02-07
SUB0186,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,33,10,FL,11047684,1173426,1326233,No,Yes,0.34," 1,35,47,343.00 "," 46,06,096.00 ",2,No,0,2025-03-13
SUB0187,Beta Cover,Email,Gold,0.65,Logistics,83,2,IL,13002287,1366772,784474,Yes,No,0.76," 1,51,53,533.00 "," 1,15,16,685.00 ",5,Yes,1,2025-04-15
SUB0188,Beta Cover,Email,Gold,0.65,Manufacturing,107,2,FL,17537347,3429403,2752435,Yes,Yes,0.72," 2,37,19,185.00 "," 1,70,77,813.00 ",10,No,1,2025-05-11
SUB0189,CoreTrust,Portal,Gold,0.66,Education,95,4,NJ,19859434,2506982,1833332,Yes,No,0.69," 2,41,99,748.00 "," 1,66,97,826.00 ",6,No,1,2025-06-04
SUB0190,Alpha Risk,Portal,Platinum,0.78,Warehousing,70,3,TX,27828293,4216015,1585774,Yes,No,0.76," 3,36,30,082.00 "," 2,55,58,862.00 ",7,No,1,2025-07-13
SUB0191,SecureEdge,Wholesaler,Silver,0.4,Retail,43,5,CA,14243276,2793015,1725107,No,No,0.38," 1,87,61,398.00 "," 71,29,331.00 ",4,No,0,2025-08-07
SUB0192,Delta Insure,API,Bronze,0.35,Hospitality,33,1,LA,10252287,1241488,200000,No,Yes,0.31," 1,16,93,775.00 "," 36,25,070.00 ",7,No,0,2025-09-27
SUB0193,Delta Insure,API,Bronze,0.35,Hospitality,12,1,LA,8364900,752706,918241,No,Yes,0.27," 1,00,35,847.00 "," 27,09,678.00 ",8,No,0,2024-10-19
SUB0194,SecureEdge,Wholesaler,Silver,0.4,Retail,42,5,CA,10818286,2407890,1043597,No,No,0.5," 1,42,69,773.00 "," 71,34,886.00 ",1,No,0,2024-11-22
SUB0195,SecureEdge,Wholesaler,Silver,0.4,Retail,56,5,CA,11440423,3980002,1240887,No,No,0.5," 1,66,61,312.00 "," 83,30,656.00 ",6,No,0,2024-12-28
SUB0196,FastBind,Email,Silver,0.5,Office Space,71,3,CO,13206470,2353621,860889,No,No,0.62," 1,64,20,980.00 "," 1,01,81,007.00 ",8,Yes,1,2025-01-02
SUB0197,Alpha Risk,Portal,Platinum,0.78,Warehousing,95,3,TX,28322555,5429718,1649956,Yes,No,0.9," 3,54,02,229.00 "," 3,18,62,006.00 ",5,Yes,1,2025-02-10
SUB0198,Alpha Risk,Portal,Platinum,0.78,Warehousing,96,3,TX,23653748,5902832,1684053,Yes,No,0.87," 3,12,40,633.00 "," 2,71,79,350.00 ",4,Yes,1,2025-03-13
SUB0199,Beta Cover,Email,Gold,0.65,Manufacturing,125,2,FL,22177299,4022808,2590867,Yes,Yes,0.75," 2,87,90,974.00 "," 2,15,93,230.00 ",2,No,1,2025-04-25
SUB0200,CoreTrust,Portal,Gold,0.66,Education,95,4,NJ,17641519,3207430,2247438,Yes,No,0.73," 2,30,96,387.00 "," 1,68,60,362.00 ",6,Yes,1,2025-05-21
SUB0201,SecureEdge,Wholesaler,Silver,0.4,Retail,38,5,CA,11713446,2333710,1531011,No,No,0.42," 1,55,78,167.00 "," 65,42,830.00 ",6,Yes,0,2025-06-06
SUB0202,Delta Insure,API,Bronze,0.35,Hospitality,32,1,LA,8999500,1760117,200000,No,Yes,0.3," 1,09,59,617.00 "," 32,87,885.00 ",1,No,0,2025-07-28
SUB0203,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,39,10,FL,10080787,1071680,1245220,No,Yes,0.29," 1,23,97,687.00 "," 35,95,329.00 ",9,No,0,2025-08-28
SUB0204,FastBind,Email,Silver,0.5,Office Space,71,3,CO,11821284,1356422,1145067,No,No,0.47," 1,43,22,773.00 "," 67,31,703.00 ",6,No,0,2025-09-12
SUB0205,SecureEdge,Wholesaler,Silver,0.4,Retail,59,5,CA,7481964,3644875,1552893,No,No,0.44," 1,26,79,732.00 "," 55,79,082.00 ",3,No,0,2024-10-12
SUB0206,Alpha Risk,Portal,Platinum,0.78,Warehousing,70,3,TX,28172819,4477767,2247064,Yes,No,0.88," 3,48,97,650.00 "," 3,07,09,932.00 ",4,No,1,2024-11-20
SUB0207,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,16,10,FL,5005065,1314746,523178,No,Yes,0.47," 68,42,989.00 "," 32,16,204.00 ",4,No,0,2024-12-11
SUB0208,Beta Cover,Email,Gold,0.65,Logistics,61,2,IL,16319290,1628594,1327047,Yes,No,0.72," 1,92,74,931.00 "," 1,38,77,950.00 ",3,Yes,1,2025-01-26
SUB0209,CoreTrust,Portal,Gold,0.66,Education,92,4,NJ,21428638,2832448,2162155,Yes,No,0.77," 2,64,23,241.00 "," 2,03,45,895.00 ",10,No,1,2025-02-23
SUB0210,Alpha Risk,Portal,Platinum,0.78,Warehousing,104,3,TX,27004358,4744476,1725824,Yes,No,0.83," 3,34,74,658.00 "," 2,77,83,966.00 ",3,No,1,2025-03-28
SUB0211,CoreTrust,Portal,Gold,0.66,Education,87,4,NJ,23373022,3418347,2266411,Yes,No,0.8," 2,90,57,780.00 "," 2,32,46,224.00 ",3,No,1,2025-04-25
SUB0212,SecureEdge,Wholesaler,Silver,0.4,Retail,52,5,CA,16735486,3120482,1091635,No,No,0.45," 2,09,47,603.00 "," 94,26,421.00 ",4,No,0,2025-05-07
SUB0213,CoreTrust,Portal,Gold,0.66,Education,102,4,NJ,20728867,4117873,1629544,Yes,No,0.67," 2,64,76,284.00 "," 1,77,39,110.00 ",7,No,1,2025-06-01
SUB0214,Alpha Risk,Portal,Platinum,0.78,Manufacturing,187,5,OH,40164486,6295440,3154454,Yes,No,0.79," 4,96,14,380.00 "," 3,91,95,360.00 ",4,No,1,2025-07-01
SUB0215,Alpha Risk,Portal,Platinum,0.78,Manufacturing,198,5,OH,43393940,6294882,2669361,Yes,No,0.76," 5,23,58,183.00 "," 3,97,92,219.00 ",9,No,1,2025-08-25
SUB0216,Beta Cover,Email,Gold,0.65,Logistics,73,2,IL,17926231,1040075,1212704,Yes,No,0.67," 2,01,79,010.00 "," 1,35,19,936.00 ",1,No,1,2025-09-27
SUB0217,Alpha Risk,Portal,Platinum,0.78,Real Estate,251,8,NY,64238596,10015444,4705065,Yes,No,0.81," 7,89,59,105.00 "," 6,39,56,875.00 ",8,No,1,2024-10-25
SUB0218,Alpha Risk,Portal,Platinum,0.78,Manufacturing,180,5,OH,44272695,6420599,2947594,Yes,No,0.93," 5,36,40,888.00 "," 4,98,86,025.00 ",7,No,1,2024-11-20
SUB0219,FastBind,Email,Silver,0.5,Office Space,71,3,CO,7758936,1816035,1154412,No,No,0.5," 1,07,29,383.00 "," 53,64,691.00 ",2,Yes,0,2024-12-13
SUB0220,Alpha Risk,Portal,Platinum,0.78,Warehousing,78,3,TX,20360191,4121457,1516600,Yes,No,0.82," 2,59,98,248.00 "," 2,13,18,563.00 ",8,No,1,2025-01-09
SUB0221,Alpha Risk,Portal,Platinum,0.78,Warehousing,88,3,TX,21614764,5929870,2017223,Yes,No,0.88," 2,95,61,857.00 "," 2,60,14,434.00 ",1,Yes,1,2025-02-03
SUB0222,FastBind,Email,Silver,0.5,Office Space,62,3,CO,14208713,1393079,1024358,No,No,0.45," 1,66,26,150.00 "," 74,81,767.00 ",9,No,0,2025-03-07
SUB0223,Alpha Risk,Portal,Platinum,0.78,Warehousing,102,3,TX,25516744,5555377,2033654,Yes,No,0.75," 3,31,05,775.00 "," 2,48,29,331.00 ",9,No,1,2025-04-06
SUB0224,Beta Cover,Email,Gold,0.65,Logistics,62,2,IL,13774717,2369691,1439843,Yes,No,0.75," 1,75,84,251.00 "," 1,31,88,188.00 ",2,No,1,2025-05-08
SUB0225,SecureEdge,Wholesaler,Silver,0.4,Retail,55,5,CA,8710052,2224919,1665461,No,No,0.46," 1,26,00,432.00 "," 57,96,198.00 ",7,No,0,2025-06-27
SUB0226,SecureEdge,Wholesaler,Silver,0.4,Retail,53,5,CA,10495850,3828431,1906716,No,No,0.41," 1,62,30,997.00 "," 66,54,708.00 ",10,No,0,2025-07-09
SUB0227,Beta Cover,Email,Gold,0.65,Logistics,55,2,IL,19859644,1759178,1253919,Yes,No,0.76," 2,28,72,741.00 "," 1,73,83,283.00 ",3,Yes,1,2025-08-05
SUB0228,Beta Cover,Email,Gold,0.65,Manufacturing,115,2,FL,14814155,4425557,3021372,Yes,Yes,0.69," 2,22,61,084.00 "," 1,53,60,147.00 ",7,No,1,2025-09-01
SUB0229,SecureEdge,Wholesaler,Silver,0.4,Retail,45,5,CA,10226480,3793216,1003940,No,No,0.47," 1,50,23,636.00 "," 70,61,108.00 ",10,Yes,0,2024-10-19
SUB0230,Alpha Risk,Portal,Platinum,0.78,Warehousing,67,3,TX,26218879,5020351,2100501,Yes,No,0.79," 3,33,39,731.00 "," 2,63,38,387.00 ",9,Yes,1,2024-11-10
SUB0231,CoreTrust,Portal,Gold,0.66,Education,79,4,NJ,16690172,2635979,1618057,Yes,No,0.81," 2,09,44,208.00 "," 1,69,64,808.00 ",4,No,1,2024-12-12
SUB0232,Alpha Risk,Portal,Platinum,0.78,Warehousing,94,3,TX,27179796,4983476,1592657,Yes,No,0.76," 3,37,55,929.00 "," 2,56,54,506.00 ",1,No,1,2025-01-24
SUB0233,FastBind,Email,Silver,0.5,Office Space,74,3,CO,10119657,2233532,1085232,No,No,0.58," 1,34,38,421.00 "," 77,94,284.00 ",2,No,0,2025-02-15
SUB0234,Alpha Risk,Portal,Platinum,0.78,Manufacturing,174,5,OH,40165521,7806835,2803109,Yes,No,0.81," 5,07,75,465.00 "," 4,11,28,126.00 ",1,Yes,1,2025-03-27
SUB0235,Alpha Risk,Portal,Platinum,0.78,Real Estate,235,8,NY,55043159,10399938,4919413,Yes,No,0.84," 7,03,62,510.00 "," 5,91,04,508.00 ",5,No,1,2025-04-22
SUB0236,Alpha Risk,Portal,Platinum,0.78,Real Estate,265,8,NY,60429470,9275206,5324584,Yes,No,0.92," 7,50,29,260.00 "," 6,90,26,919.00 ",5,No,1,2025-05-24
SUB0237,Alpha Risk,Portal,Platinum,0.78,Warehousing,92,3,TX,27649498,5577002,1597042,Yes,No,0.77," 3,48,23,542.00 "," 2,68,14,127.00 ",7,No,1,2025-06-09
SUB0238,Alpha Risk,Portal,Platinum,0.78,Warehousing,97,3,TX,26109863,5701592,2178070,Yes,No,0.85," 3,39,89,525.00 "," 2,88,91,096.00 ",9,No,1,2025-07-20
SUB0239,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,10,10,FL,7755121,1744788,1249280,No,Yes,0.44," 1,07,49,189.00 "," 47,29,643.00 ",9,No,0,2025-08-17
SUB0240,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,6055337,2534524,1120365,No,Yes,0.44," 97,10,226.00 "," 42,72,499.00 ",3,No,0,2025-09-17
SUB0241,FastBind,Email,Silver,0.5,Office Space,36,3,CO,13164088,2319308,1003722,No,No,0.59," 1,64,87,118.00 "," 97,27,399.00 ",3,No,0,2024-10-26
SUB0242,FastBind,Email,Silver,0.5,Office Space,62,3,CO,13282558,607589,931117,No,No,0.56," 1,48,21,264.00 "," 82,99,907.00 ",3,No,0,2024-11-20
SUB0243,Alpha Risk,Portal,Platinum,0.78,Real Estate,246,8,NY,55003324,10468386,4584007,Yes,No,0.82," 7,00,55,717.00 "," 5,74,45,687.00 ",4,No,1,2024-12-12
SUB0244,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,25,10,FL,7627540,1728900,1254638,No,Yes,0.34," 1,06,11,078.00 "," 36,07,766.00 ",8,No,0,2025-01-07
SUB0245,FastBind,Email,Silver,0.5,Office Space,64,3,CO,6676663,1686085,1040369,No,No,0.45," 94,03,117.00 "," 42,31,402.00 ",6,No,0,2025-02-02
SUB0246,Delta Insure,API,Bronze,0.35,Hospitality,40,1,LA,4895891,1188739,352248,No,Yes,0.36," 64,36,878.00 "," 23,17,276.00 ",8,No,0,2025-03-03
SUB0247,CoreTrust,Portal,Gold,0.66,Education,81,4,NJ,18281815,4397087,2257692,Yes,No,0.66," 2,49,36,594.00 "," 1,64,58,152.00 ",1,No,1,2025-04-17
SUB0248,Alpha Risk,Portal,Platinum,0.78,Warehousing,77,3,TX,25266175,4337466,1821183,Yes,No,0.83," 3,14,24,824.00 "," 2,60,82,603.00 ",8,No,1,2025-05-05
SUB0249,FastBind,Email,Silver,0.5,Office Space,52,3,CO,6072667,560744,1153674,No,No,0.49," 77,87,085.00 "," 38,15,671.00 ",4,No,0,2025-06-17
SUB0250,SecureEdge,Wholesaler,Silver,0.4,Retail,46,5,CA,10219830,3749325,1102640,No,No,0.48," 1,50,71,795.00 "," 72,34,461.00 ",1,No,0,2025-07-24
SUB0251,Alpha Risk,Portal,Platinum,0.78,Manufacturing,196,5,OH,44003617,6353953,2732628,Yes,No,0.77," 5,30,90,198.00 "," 4,08,79,452.00 ",8,No,1,2025-08-17
SUB0252,CoreTrust,Portal,Gold,0.66,Education,110,4,NJ,17690091,2679180,2218343,Yes,No,0.77," 2,25,87,614.00 "," 1,73,92,462.00 ",4,No,1,2025-09-27
SUB0253,Beta Cover,Email,Gold,0.65,Logistics,59,2,IL,14287634,1854100,1390736,Yes,No,0.79," 1,75,32,470.00 "," 1,38,50,651.00 ",6,No,1,2024-10-17
SUB0254,Beta Cover,Email,Gold,0.65,Manufacturing,121,2,FL,15785785,4810085,3421953,Yes,Yes,0.6," 2,40,17,823.00 "," 1,44,10,693.00 ",8,No,0,2024-11-02
SUB0255,CoreTrust,Portal,Gold,0.66,Education,97,4,NJ,18834159,3552810,1801450,Yes,No,0.77," 2,41,88,419.00 "," 1,86,25,082.00 ",4,No,1,2024-12-02
SUB0256,FastBind,Email,Silver,0.5,Office Space,43,3,CO,14511366,1820889,677106,No,No,0.44," 1,70,09,361.00 "," 74,84,118.00 ",3,No,0,2025-01-28
SUB0257,Beta Cover,Email,Gold,0.65,Logistics,73,2,IL,13287710,1371428,1357145,Yes,No,0.61," 1,60,16,283.00 "," 97,69,932.00 ",9,Yes,1,2025-02-22
SUB0258,Beta Cover,Email,Gold,0.65,Logistics,88,2,IL,18459827,1357099,537455,Yes,No,0.73," 2,03,54,381.00 "," 1,48,58,698.00 ",3,Yes,1,2025-03-23
SUB0259,Alpha Risk,Portal,Platinum,0.78,Real Estate,236,8,NY,58267501,10850868,5247934,Yes,No,0.86," 7,43,66,303.00 "," 6,39,55,020.00 ",9,No,1,2025-04-05
SUB0260,CoreTrust,Portal,Gold,0.66,Education,112,4,NJ,16118208,3559809,2287465,Yes,No,0.8," 2,19,65,482.00 "," 1,75,72,385.00 ",2,No,1,2025-05-01
SUB0261,Alpha Risk,Portal,Platinum,0.78,Warehousing,82,3,TX,22494582,5182582,1778800,Yes,No,0.9," 2,94,55,964.00 "," 2,65,10,367.00 ",2,Yes,1,2025-06-01
SUB0262,Alpha Risk,Portal,Platinum,0.78,Real Estate,246,8,NY,56702960,9562644,5326645,Yes,No,0.81," 7,15,92,249.00 "," 5,79,89,721.00 ",2,Yes,1,2025-07-19
SUB0263,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,38,10,FL,11961237,2139744,1075549,No,Yes,0.43," 1,51,76,530.00 "," 65,25,907.00 ",6,Yes,0,2025-08-02
SUB0264,CoreTrust,Portal,Gold,0.66,Education,107,4,NJ,20651611,3894955,2279879,Yes,No,0.67," 2,68,26,445.00 "," 1,79,73,718.00 ",3,Yes,1,2025-09-21
SUB0265,Alpha Risk,Portal,Platinum,0.78,Real Estate,263,8,NY,63270487,10140692,4671995,Yes,No,0.84," 7,80,83,174.00 "," 6,55,89,866.00 ",9,Yes,1,2024-10-12
SUB0266,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,16,10,FL,8236317,2019399,1287607,No,Yes,0.38," 1,15,43,323.00 "," 43,86,462.00 ",4,No,0,2024-11-26
SUB0267,Beta Cover,Email,Gold,0.65,Logistics,82,2,IL,15976470,2229113,1125027,Yes,No,0.8," 1,93,30,610.00 "," 1,54,64,488.00 ",1,No,1,2024-12-06
SUB0268,Beta Cover,Email,Gold,0.65,Logistics,64,2,IL,17507391,1269088,937332,Yes,No,0.71," 1,97,13,811.00 "," 1,39,96,805.00 ",4,Yes,1,2025-01-23
SUB0269,Alpha Risk,Portal,Platinum,0.78,Warehousing,86,3,TX,26717682,4046276,2164201,Yes,No,0.88," 3,29,28,159.00 "," 2,89,76,779.00 ",1,No,1,2025-02-04
SUB0270,Beta Cover,Email,Gold,0.65,Manufacturing,118,2,FL,15841394,3157627,3442209,Yes,Yes,0.58," 2,24,41,230.00 "," 1,30,15,913.00 ",5,Yes,0,2025-03-23
SUB0271,Alpha Risk,Portal,Platinum,0.78,Real Estate,267,8,NY,63511129,9025770,5187125,Yes,No,0.87," 7,77,24,024.00 "," 6,76,19,900.00 ",4,No,1,2025-04-11
SUB0272,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,24,10,FL,13606463,2027555,798194,No,Yes,0.45," 1,64,32,212.00 "," 73,94,495.00 ",8,No,0,2025-05-24
SUB0273,Beta Cover,Email,Gold,0.65,Logistics,77,2,IL,17036052,1141421,1265533,Yes,No,0.76," 1,94,43,006.00 "," 1,47,76,684.00 ",8,No,1,2025-06-27
SUB0274,FastBind,Email,Silver,0.5,Office Space,65,3,CO,13526849,2384634,1030173,No,No,0.5," 1,69,41,656.00 "," 84,70,828.00 ",7,Yes,0,2025-07-17
SUB0275,Beta Cover,Email,Gold,0.65,Manufacturing,118,2,FL,14528108,3447155,3431712,Yes,Yes,0.66," 2,14,06,975.00 "," 1,41,28,603.00 ",3,No,1,2025-08-06
SUB0276,Delta Insure,Wholesaler,Bronze,0.35,Restaurant Chain,14,10,FL,10052929,1326507,1117942,No,Yes,0.36," 1,24,97,378.00 "," 44,99,056.00 ",1,Yes,0,2025-09-24
SUB0277,Alpha Risk,Portal,Platinum,0.78,Manufacturing,170,5,OH,44719436,7404498,2587847,Yes,No,0.76," 5,47,11,781.00 "," 4,15,80,953.00 ",1,No,1,2024-10-05
SUB0278,Alpha Risk,Portal,Platinum,0.78,Warehousing,80,3,TX,26853679,4980611,1820696,Yes,No,0.88," 3,36,54,986.00 "," 2,96,16,387.00 ",3,No,1,2024-11-20
